locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url,city_district,full_address,floor,year_built,building_type,price_per_sqm_detailed,description_text,has_basement,has_parking,kitchen_type,window_type,ownership_type,equipment,latitude,longitude
Warszawa Bemowo,ul. Puszczy Solskiej,3.0,51.0,719000,13967.0,Bez pośredników,ponad miesiąc temu,22.0,https://adresowo.pl/o/mieszkanie-warszawa-bemowo-ul-puszczy-solskiej-3-pokojowe-k8b4g3,https://s2.adresowa.pl/oi/2e/3e/3781ec_ed6c_cover-3-pokojowe-mieszkanie-warszawa-bemowo-ul-puszczy-solskiej.jpg,Warszawa Bemowo,ul. Puszczy Solskiej,1 / winda,1976.0,blok,13 967,"Oferty na sprzedaż: 3-pokojowe mieszkanie o powierzchni 51,48 m2, usytuowane na 1. piętrze w 11-piętrowym budynku z 1976 roku, znajdującym się przy ul. Puszczy Solskiej 4 na Bemowie. MIESZKANIE: Mieszkanie z bardzo optymalnym układem - 3 oddzielne pokoje oraz widna kuchnia gwarantują wygodę i prywatność dla mieszkańców. Lokal jest gotowy do wprowadzenia. W ok. 6-metrowym pomieszczeniu jest mnóstwo szafek z miejscem do przechowywania, płyta grzewcza gazowa, piekarnik, zlewozmywak, lodówka z zamrażarką i okap. Ustawny salon ma powierzchnię ok. 16 m2 i wychodzi się z niego na ok. 3-metrowy balkon (ekspozycja wschodnia). Przytulne sypialnie mają ok. 9,2 m2 oraz 10 m2, obie z północną ekspozycją okien. W przedpokoju (ok. 8 m2) i sypialniach znajdują się pojemne szafy. OKOLICA: Budynek przy ul. Puszczy Solskiej 4 znajduje się w cichej i zielonej, a jednocześnie dobrze skomunikowanej okolicy. W sąsiedztwie znajduje się pełna infrastruktura handlowo-usługowa, sklepy, szkoły i przedszkola. Wokół budynku jest mnóstwo bezpłatnych miejsc parkingowych, a dojście do najbliższego przystanku autobusowego zajmuje 3 minuty. INFORMACJE DODATKOWE: Spółdzielcze własnościowe prawo do lokalu z Księgą Wieczystą na gruntach uregulowanych - przy zakupie można posiłkować się kredytem hipotecznym. Do mieszkania przynależy piwnica (ok. 2 m2, na poziomie 0). Sprzedaż bezpośrednia, agencjom dziękujemy!",tak,,osobna,,własność,"Wyposażenie: lodówka, piekarnik",52.228001,20.91
Warszawa Kamionek,ul. Kałuszyńska,4.0,75.0,1560000,20940.0,Bez pośredników,wczorajnowe,11.0,https://adresowo.pl/o/mieszkanie-warszawa-kamionek-ul-kaluszynska-4-pokojowe-i8a4c9,https://s2.adresowa.pl/oi/62/69/3b9bec_9eee_cover-4-pokojowe-mieszkanie-warszawa-kamionek-ul-kaluszynska.jpg,Warszawa Kamionek,ul. Kałuszyńska 1,5 / winda,2018.0,blok,20 940,"Na sprzedaż: mieszkanie 4-pokojowe 74,5 m² z balkonem 10 m² – Warszawa, ul. Kałuszyńska Dostępne od: II KWARTAŁ 2026 Przestronne i jasne mieszkanie o powierzchni 74,5 m² z balkonem 10 m², położone na 5. piętrze kameralnego budynku (24 mieszkania, winda, garaż podziemny, rowerownia). To wyjątkowa przestrzeń – gotowa do zamieszkania bez konieczności wniesienia dodatkowych nakładów. Mieszkanie zostało nagrodzone wyróżnieniem w ogólnopolskim konkursie Porta ""Otwórz Mieszkanie"", zaprojektowane przez Ewę Czerny, projektantkę programu telewizyjnego ""Podzielić m2. Umalowane i odświeżone w sierpniu 2025 r. Do mieszkania przynależy miejsce postojowe w parkingu na poziomie -1 oraz duża komórka lokatorska na parterze o powierzchni ok. 6 m². Dopuszczamy możliwość pozostawienia mebli i lamp. Kredyt został spłacony, hipoteka wykreślona z KW Układ pomieszczeń: Garderoba ze spiżarnią – 3,7 m² Pokój (sypialnia) – 7 m² Pokój (sypialnia) – 11,6 m² Pokój (sypialnia) – 10,5 m² Salon z aneksem kuchennym – 34,5 m² Łazienka – 7,2 m² Balkon – 10 m² Atuty wnętrza: Trzy sypialnie + salon z aneksem Oddzielna garderoba z wydzieloną spiżarnią Wysoki standard wykończenia – naturalne drewniane podłogi z jesionu, zabudowy stolarskie na wymiar, drzwi do sufitu zlicowane ze ścianą i ukrytą ościeżnicą, wymienione przez inwestorów grzejniki instal projekt, klimatyzacja Funkcjonalna kuchnia blaty w kształcie litery U, w pełni wyposażona w sprzęty AGD, młynek do odpadów Designerska łazienka – z czarną wolnostojącą wanną, prysznicem i marmurową posadzką. Podesty ze schowkami – funkcjonalność i unikatowy charakter wnętrza. Balkon 10 m² – słoneczny, przestrzeń na odpoczynek i mały ogród, wymieniona posadzka. Okna: północ-południe Udogodnienia dla mieszkańców Kameralny budynek – tylko 24 mieszkania Zielone, niedostępne z zewnątrz patio z trawą i trampoliną – przestrzeń wspólna mieszkańców do relaksu. Atuty lokalizacji Bezpośrednie sąsiedztwo SWPS, szkoły podstawowej i przedszkoli – doskonała opcja dla studentów i inwestorów pod wynajem. Park Skaryszewski – kilka minut spacerem do jednego z największych parków w Warszawie. Świetna komunikacja – 4 minuty od przystanku tramwajowego Gocławska, najbliższe metro M2 Stadion Narodowy, bliskość Dworca Wschodniego, szybkie połączenia z centrum i resztą miasta. Kamionek – dzielnica łącząca urok starej Warszawy z nowoczesnymi loftami i nową zabudową.",tak,tak,aneks,plastikowe,własność,"Wyposażenie: internet, klimatyzacja, kuchenka, lodówka, piekarnik, pralka, telewizor, zmywarka",52.249001,21.063927
Warszawa Powiśle,ul. Górnośląska,2.0,38.0,630000,16800.0,Bez pośredników,wczorajnowe,9.0,https://adresowo.pl/o/mieszkanie-warszawa-powisle-ul-gornoslaska-2-pokojowe-q9g3u6,https://s2.adresowa.pl/oi/64/77/3b9bca_5bab_cover-2-pokojowe-mieszkanie-warszawa-powisle-ul-gornoslaska.jpg,Warszawa Powiśle,ul. Górnośląska,4 / winda,1960.0,blok,16 800,"Na sprzedaż funkcjonalne mieszkanie o powierzchni 37,50 m2, położone w jednej z najbardziej pożądanych lokalizacji Warszawy - na Powiślu, przy ul. Górnośląskiej. Mieszkanie wyróżnia się ustawnym układem, który daje wiele możliwości aranżacyjnych - zarówno do komfortowego zamieszkania, jak i jako inwestycja pod wynajem. Duże okna zapewniają dobre doświetlenie wnętrza, a spokojne otoczenie pozwala odpocząć od miejskiego zgiełku, mimo centralnej lokalizacji. Ogromnym atutem jest lokalizacja - z okna można podziwiać piękny Pałac Kultury, a w bezpośrednim sąsiedztwie znajdują się tereny zielone (Park Rydza-Śmigłego, Bulwary Wiślane), liczne kawiarnie, restauracje, kościół, sklepy oraz pełna infrastruktura miejska. Świetna komunikacja z centrum miasta - szybki dojazd do Śródmieścia, blisko przystanki autobusowe i tramwajowe.",tak,,osobna,plastikowe,własność,"Wyposażenie: kuchenka, lodówka, mikrofalówka, piekarnik, pralka",52.225083,21.037561
Warszawa Śródmieście,ul. Marszałkowska,3.0,61.0,1390000,22787.0,Oferta biura nieruchomości,2 dni temu,18.0,https://adresowo.pl/o/mieszkanie-warszawa-srodmiescie-ul-marszalkowska-3-pokojowe-n4h8h3,https://s2.adresowa.pl/oi/4d/2a/3b9aac_85c0_cover-3-pokojowe-mieszkanie-warszawa-srodmiescie-ul-marszalkowska.jpg,Warszawa Śródmieście,ul. Marszałkowska,5 / winda,1954.0,blok,22 787,"Dwustronne mieszkanie w kamienicy z windą, w sercu Śródmieścia przy samym Placu Zbawiciela i Metro Politechnika. Śródmieście od lat pozostaje jedną z najbardziej pożądanych lokalizacji w Warszawie. Doskonała komunikacja, pełna infrastruktura miejska, dostęp do edukacji, kultury i gastronomii sprawiają, że jest to idealne miejsce do życia i inwestycji. Mam przyjemność zaprezentować Państwu funkcjonalne, trzypokojowe mieszkanie położone przy ul. Marszałkowskiej , w samym sercu Śródmieścia, przy Placu Zbawiciela . To propozycja dla osób, które chcą mieszkać w centrum miasta i korzystać z jego udogodnień. OPIS NIERUCHOMOŚCI Mieszkanie położone jest na 5 piętrze sześciopiętrowej kamienicy z 1954 roku . Nad lokalem znajduje się tylko strych, co oznacza brak sąsiadów i dostęp do suszarni. Budynek wyposażony jest w windę oraz bardzo przestronną klatkę schodową. Wejście znajduję się na ogrodzonym terenie , na którym mieszkańcy mogą parkować swoje samochody, co stanowi ogromne udogodnienie w tej części miasta. Powierzchnia oferowanej nieruchomości wynosi 61,41 m² . Lokal jest dwustronny, z ekspozycją na wschód i zachód, a więc wnętrza są dobrze doświetlone przez cały dzień. Układ pomieszczeń: salon: 20,38 m² (jedyny pokój skierowany na ul. Marszałkowską), sypialnia: 12,92 m², druga sypialnia: 6,8 m², oddzielna, widna kuchnia: 7,34 m², łazienka z WC i prysznicem: 2,74 m², przedpokój podzielony na trzy funkcjonalne części: 5,91 m², 1,85 m² oraz 3,01 m². Sypialnie oraz kuchnia wychodzą na cichy, zielony dziedziniec, co zapewnia komfort i spokój mimo centralnej lokalizacji. Na podłodze położony jest drewniany parkiet, a w przedpokoju znajdują się dwie pojemne szafy w zabudowie. Łazienka wyposażona jest w prysznic oraz WC. Atuty nieruchomości: schowek do przechowywania na wyłączność, znajdujący się bezpośrednio obok wejścia do mieszkania, możliwość parkowania na zamkniętym terenie, wysokość mieszkania: ponad 2,9 m, dwustronne usytuowanie i rozkład dający duże możliwosci aranżacyjne, odrębna własność. Miesięczny czynsz administracyjny wynosi ok. 1060 zł. LOKALIZACJA Ul. Marszałkowska to jedna z najbardziej rozpoznawalnych i prestiżowych ulic Warszawy. Lokalizacja tuż obok Placu Zbawiciela gwarantuje dostęp do wszystkiego, co oferuje centrum miasta. W bezpośrednim sąsiedztwie znajdują się: Park Pole Mokotowskie : oddalone o 400 m, szkoła podstawowa: ok. 2 minuty spacerem, przystanek tramwajowy: tuż obok budynku, przystanek autobusowy: ok. 2 minuty pieszo, Metro Politechnika - minuta spacerem (oddalone o 110 m) W okolicy liczne sklepy, butiki, kawiarnie, bary i restauracje, a także punkty usługowe i miejsca spotkań towarzyskich. Lokalizacja idealna zarówno dla rodzin, jak i osób aktywnych zawodowo czy inwestorów. Jeśli zainteresowała Państwa ta oferta, serdecznie zapraszam do kontaktu. Dominika Onderska Senior Premium Property Advisor Real Estate License Number 28584 [email] Niniejsze ogłoszenie jest wyłącznie informacją i nie stanowi oferty w rozumieniu art. 66 § 1 Kodeksu Cywilnego. Dokładamy wszelkich starań, aby informacje przedstawione w naszych ofertach były aktualne i rzetelne. Informacje zawarte w ofercie uzyskano na podstawie oświadczeń sprzedających. Załączony plan nieruchomości jest poglądowy. Agencja WHITE LION INVESTMENTS jest objęta obowiązkiem ubezpieczenia odpowiedzialności cywilnej zawodowej. Posiadamy OC zgodne z Rozporządzeniem Ministra Finansów z dn. 26.04.2019 r. w sprawie obowiązkowego ubezpieczenia odpowiedzialności cywilnej pośrednika w obrocie nieruchomościami (Dz. U. z 2019 r., poz. 804). Pobieramy wynagrodzenie w formie prowizji za wykonaną usługę pośrednictwa. Bierzemy odpowiedzialność za bezpieczeństwo przeprowadzanych przez nas transakcji. Pośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa: Dominika Onderska (licencja nr: 28584)",tak,,,plastikowe,własność,,52.218393,21.018453
Warszawa Bemowo,ul. płk. Witolda Łokuciewskiego,3.0,72.0,1260000,17500.0,Bez pośredników,wczorajnowe,16.0,https://adresowo.pl/o/mieszkanie-warszawa-bemowo-ul-plk-witolda-lokuciewskiego-3-pokojowe-f2c9x2,https://s2.adresowa.pl/oi/29/14/3b9bbe_c5d8_cover-3-pokojowe-mieszkanie-warszawa-bemowo-ul-plk-witolda-lokuciewskiego.jpg,Warszawa Bemowo,ul. płk. Witolda Łokuciewskiego 2,1 / winda,2018.0,blok,17 500,"Oferta bezpośrednia, proszę o niekontaktowanie się agencji. Na sprzedaż: 3 pokojowe mieszkanie z tarasem i widokiem na zieleń – Warszawa Bemowo przy ul.icy Łokuciewskiego 2, 1 piętro – idealne dla rodziny lub pary. Mieszkanie przearanżowane z 4-pokojowego na 3-pokojowe dla większego komfortu, możliwa zmiana ponownie na mieszkanie 4 pokojowe. Salon z aneksem kuchennym i wyjściem na spory taras 9m2. Dwie sypialnie, w tym jedna typu master z własną łazienką i garderobą. Na podłodze deska dębowa, w łazienkach gres – wszystko wysokiej jakości Z każdego okna widok na drzewa – przyjemna, zielona okolica Do mieszkania przynależy miejsce w garażu podziemnym tuż przy klatce schodowej oraz komórka lokatorska 6m2 (jako przedłużenie miejsca parkingowego). Dodatkowo płatne 60000 zł. Lokalizacja: 2 minuty samochodem do trasy S8 15 minut autobusem do metra Bemowo 3 minuty spacerem do przystanku tramwajowego (linia 20) W pobliżu Wojskowa Akademia Techniczna (WAT), sklepy, szkoły, tereny rekreacyjne W budynku: Siłownia dla mieszkańców Sala zabaw dla dzieci Mieszkanie gotowe do wprowadzenia – starannie wykończone, wygodne, świetnie zlokalizowane. Zapraszam do kontaktu i obejrzenia na żywo!",tak,tak,aneks,plastikowe,własność,"Wyposażenie: kuchenka, lodówka, mikrofalówka, piekarnik, pralka, telewizor, zmywarka",52.245649,20.898603
Warszawa Mokotów,ul. Barcelońska,1.0,31.0,455000,14677.0,Bez pośredników,wczorajnowe,8.0,https://adresowo.pl/o/mieszkanie-warszawa-mokotow-ul-barcelonska-1-pokoj-i0a5r0,https://s2.adresowa.pl/oi/7e/7b/3b9b72_c8a5_cover-1-pokojowe-mieszkanie-warszawa-mokotow-ul-barcelonska.jpg,Warszawa Mokotów,ul. Barcelońska,10 / winda,1976.0,blok,14 677,"Kawalerka 31 m² usytuowana na 10 piętrze w zadbanym, ocieplonym wieloklatkowym bloku z 1976 roku zlokalizowanym przy ul. Barcelońskiej na osiedlu Stegny (Mokotów). SPÓŁDZELCZE WŁASNOSCIOWE KSIĘGA WIECZYSTA GRUNTY UREGULOWANE MOŻLIWOŚĆ ZAKUPU MIESZKANIA NA KREDYT SPRZEDAŻ BEZPOŚREDNIA (BRAK PROWIZJI) MIESZKANIE NIEZAMIESZKAŁE, DOSTĘPNE OD ZARAZ Osiedle Stegny oferuje wszechobecną zieleń, liczne tereny zielone, miejsca wypoczynkowe, place zabaw, szkoły, przedszkola, żłobki, sklepy i jest doskonale skomunikowane z reszta miasta. W najbliższej okolicy znajdują się liczne przystanki autobusowe, przystanek tramwajowy (nowa linia tramwajowa na ul. Sobieskiego) w niedalekiej okolicy przystanek metra. Ulica Barcelońska jest ślepą uliczką o ograniczonym natężeniu ruchu, co pozwala na bezproblemowe znalezienie miejsca parkingowego, obok ulicy dodatkowy płatny parking strzeżony. Na powierzchnię mieszkania składa się: • pokój z wnęką sypialnianą o powierzchni 19,3m², • widna kuchnia - 6,13m², • łazienka z WC - ok. 3m², • przedpokój z miejscem na szafę wnękową - ok. 3m², Wysokość mieszkania -260 cm, ekspozycja wschodnia. Ogrzewanie C.O. z sieci miejskiej, duże i szczelne okna PCV, instalacje gazowa oraz elektryczna w stanie bardzo dobrym, niski czynsz administracyjny. W cenie mieszkania piwnica – 1,2 x 1,5. Mieszkanie do remontu, przy okazji którego można dowolnie zaaranżować przestrzeń. Dzięki dużej liczbie okien w pokoju, możliwe jest podzielenie go ścianką działową uzyskując tym samym 2 oddzielne pokoje. Kolejną opcją jest możliwość przeniesienia kuchni do salonu tworząc aneks kuchenny i wyodrębnienie z obecnej kuchni oddzielnego pokoju, np. sypialni. Zapraszam do kontaktu telefonicznego [numer].",tak,,osobna,plastikowe,spółdzielcze własnościowe,,52.174736,21.054928
Warszawa Żoliborz,ul. Rafała Krajewskiego,2.0,35.0,695000,19954.0,Oferta biura nieruchomości,2 dni temu,15.0,https://adresowo.pl/o/mieszkanie-warszawa-zoliborz-ul-rafala-krajewskiego-2-pokojowe-b4k0h3,https://s2.adresowa.pl/oi/3e/60/3b9a86_36bc_cover-2-pokojowe-mieszkanie-warszawa-zoliborz-ul-rafala-krajewskiego.jpg,Warszawa Żoliborz,ul. Rafała Krajewskiego,2,1950.0,blok,19 954,"UNIKAT | Słoneczne 35m² na Starym Żoliborzu | Widok na Zieleń Zapraszamy do zapoznania się z ofertą wyjątkowego mieszkania położonego w sercu klimatycznego Starego Żoliborza. To idealna propozycja dla osób ceniących ciszę i spokój a także dla inwestorów szukających nieruchomości o wysokim potencjale wzrostu wartości. KLUCZOWE PARAMETRY Powierzchnia mieszkalna: 34,83 m², piwnica: 4,91 m² Piętro: 2 / 4 (bez windy) Wysokość pomieszczeń: 2,75 m (poczucie przestrzeni) Ekspozycja: Południowa (słoneczne) Standard: Zadbane, do wprowadzenia / odświeżenia Podłoga: Klasyczny parkiet dębowy w doskonałym stanie UKŁAD POMIESZCZEŃ Obecnie mieszkanie posiada funkcjonalny podział na oddzielną, widną kuchnię oraz duży salon. Istnieje możliwość rearanżacji na salon z aneksem kuchennym oraz oddzielną sypialnię. Pokój dzienny (ok. 19,27 m²): Przestronny, z wyjściem na balkon i widokiem na zielone, ciche podwórze. Widna kuchnia (ok. 10,30 m²): Duże okno, możliwość przeniesienia przyłączy do salonu. Łazienka (ok. 3,00 m²): Wyposażona w wannę. Przedpokój (ok. 3,00 m²): Z szafą wnękową. DLACZEGO WARTO? Cisza i światło: Okna wychodzą na wewnętrzne, pełne starodrzewu podwórze. Południowa wystawa zapewnia naturalne doświetlenie przez cały dzień. Lokalizacja Premium: Stary Żoliborz to jedna z najbardziej pożądanych dzielnic Warszawy. W zasięgu spaceru znajdują się klimatyczne kawiarnie, parki, placówki kulturalne oraz pełna infrastruktura miejska. Komunikacja: Doskonały punkt komunikacyjny - bliskość metra, przystanków tramwajowych i autobusowych pozwala na szybki dojazd do centrum. Parkowanie: Unikalna możliwość parkowania samochodu na zamykanym podwórzu bezpośrednio przed kamienicą. OKOLICA Rekreacja: Liczne parki i tereny zielone. Usługi: Sklepy, przychodnia, szpital, szkoły i przedszkola oraz uczelnie wyższe. Sąsiedztwo: Spokojni, wieloletni mieszkańcy, dbający o części wspólne budynku. INFORMACJE FORMALNE Stan prawny: Pełna własność z Księgą Wieczystą (możliwość posiłkowania się kredytem). Czynsz: ok. 700 zł. Niniejsze ogłoszenie ma charakter informacyjny i nie stanowi oferty handlowej w rozumieniu Art.66 par.1 Kodeksu Cywilnego.",,tak,,,własność,,52.260462,20.997488
Warszawa Praga-Południe,ul. Jana Nowaka-Jeziorańskiego,2.0,54.0,980000,18071.0,Bez pośredników,2 dni temu,19.0,https://adresowo.pl/o/mieszkanie-warszawa-praga-poludnie-ul-jana-nowaka-jezioranskiego-2-pokojowe-v0k8v8,https://s2.adresowa.pl/oi/6a/4d/3b9b10_85cd_cover-2-pokojowe-mieszkanie-warszawa-praga-poludnie-ul-jana-nowaka-jezioranskiego.jpg,Warszawa Praga-Południe,ul. Jana Nowaka-Jeziorańskiego,4 / winda,2011.0,blok,18 071,"Sprzedam mieszkanie własnościowe wraz z miejscem postojowym w garażu podziemnym, przy u. J.N Jeziorańskiego obok CH Promenada, dwa balkony o powierzchni 15,9m2, rok budowy 2011, jestem pierwszym właścicielem tego mieszkania i mieszkańcem, mieszkanie w pełni umeblowane i wyposażone, m.in. pół roku temu wymieniona lodówka na nową, nowa pralka. Mieszkanie wg mnie w idealnej lokalizacji, bezpośrednio przy bloku znajduje się przystanek autobusowy linii 151, który jeździ do stacji I linii Metra Politechnika, żłobek 400m, przedszkole 100m, nowo wybudowana nowoczesna szkoła podstawowa z przedszkolem na tej samej ulicy 700m, około 700m pętla autobusowa Gocław z liniami [numer], 507, E1, 509, dwie piekarnie z czego jedna czynna również w niedzielę, dwa sklepy spożywcze czynne 7 dni w tygodniu 150m, usługi fryzjer i inne, centrum handlowe Promenada 200m ze sklepami, w odległości 2 km sklepy Leroy, Castorama, Lidl, Biedronka, Kaufland, liczne banki itd, i usługi, w bloku jest prywatna przychodnia lekarska,w CH Promenada znajduje prywatna opieka medyczna ENEL-MED. Miasto planuje budowę III linii Metra na lata 2028-2032 ze stacją na ul. Fieldorfa 800m, które ma kursować do Stadionu Narodowego do II linii metra. Miasto planuje również wybudować linię tramwajową na u. Filedorfa. Okolica jest zielona, cicha, mieszkanie zlokalizowane od strony patio z widokiem na patio i plac zabaw, pozostałą część Warszawy często widać tęcze po opadach deszczu, np. w kierunku mostu siekierkowskiego, mieszkanie ma dwa duże przestrzenne balkony, balkony zlokalizowane po przeciwnych stronach mieszkania, jedno od wschodu drugie od południa, nie ma szumu od aut, wokół nie ma wyższych bloków z mieszkaniami zaglądającymi w okna. Mieszkanie znajduje się na IV piętrze w części 7 piętrowej, dwie windy, bezpośrednio wejście do klatki z ochroną w klatce przez 24h, obiekt monitorowany. Mieszkanie wykończone w dobrym standardzie, do zamieszkania od zaraz, drewniane podłogi deska barlinecka, drzwi z litego drewna, kuchnia fornirowana trwała nie do zniszczenia, sprzęty Bosch, Simens, klimatyzacja w salonie marki LG, która pokrywa również pozostałe przestrzenie w upalne dni jest komfortowo, łazienka jest jasna z oknem na zewnątrz. Do mieszkania dodatkowo mam własnościowe miejsce garażowe w garażu podziemnym na -1 bezpośrednio przy windzie, na odrębnej księdze wieczystej, płatne dodatkowo, mogę sprzedać oddzielnie lub z mieszkaniem, do decyzji kupującego. Miejsce postojowe zlokalizowane jest blisko windy, przy ścianie oddzielone od pozostałych miejsc przez szeroki słup przez co jest przestronne, możliwość swobodnego otwierania drzwi bez obijania samochodu, można wygospodarować miejsce na rowery, my trzymamy np. 4 dwa duże dwa mniejsze. Mieszkanie sprzedajemy z uwagi na zamieszkanie w upragnionym domu. Czynsz w skład którego wchodzi m.in. opłata za wodę, ogrzewanie wg liczników, miejsce postojowe, przy czterech osobach koszt ok. 1000 zł, plus koszt energii w zależności od zużycia. Więcej informacji mogę udzielić telefonicznie.",,tak,osobna,plastikowe,własność,"Wyposażenie: internet, klimatyzacja, kuchenka, lodówka, mikrofalówka, piekarnik, pralka, telewizor, zmywarka",52.229313,21.107414
Warszawa Bemowo,ul. Obrońców Tobruku,4.0,105.0,2150000,20476.0,Bez pośredników,2 dni temu,10.0,https://adresowo.pl/o/mieszkanie-warszawa-bemowo-ul-obroncow-tobruku-4-pokojowe-q1g7l5,https://s2.adresowa.pl/oi/71/44/3b99f6_98db_cover-4-pokojowe-mieszkanie-warszawa-bemowo-ul-obroncow-tobruku.jpg,Warszawa Bemowo,ul. Obrońców Tobruku,4 / winda,,blok,20 476,"Oferuję na sprzedaż przestronne, wychodzące na 2 strony bloku mieszkanie o powierzchni 105 m² w Warszawie, na strzeżonym Osiedlu Leśnym na Bemowie. Mieszkanie składa się z: - 4 pokoi - przestronnej garderoby od głównej sypialni z wbudowanymi szafami i półkami - 2 łazienek (jedna z prysznicem i bidetem, druga z narożną wanną) - widnej, otwartej kuchni - 2 dużych balkonów - przestronnego przedpokoju. Ma wbudowane garderoby i wyposażone jest w meble oraz sprzęt AGD, w tym pralkę, zmywarkę i lodówkę. 2 miejsca garażowe i piwnica są dostępne. Meble mogą być zostawione. Lokalizacja jest świetna - na osiedlu są place zabaw i bezpośredni dostęp do pięknego parku. Łatwy dostęp do komunikacji miejskiej i autostrady. W pobliżu znajdziesz: - przystanki autobusowe - liczne sklepy, apteki i supermarkety - restauracje i kawiarnie - parki - szkoły.",tak,tak,aneks,,własność,"Wyposażenie: pralka, lodówka, zmywarka",52.259153,20.936253
Warszawa Śródmieście,pl. Konstytucji,2.0,27.0,959000,35000.0,Oferta biura nieruchomości,3 dni temu,19.0,https://adresowo.pl/o/mieszkanie-warszawa-srodmiescie-pl-konstytucji-2-pokojowe-d2d8q4,https://s2.adresowa.pl/oi/29/54/3b98b6_a753_cover-2-pokojowe-mieszkanie-warszawa-srodmiescie-pl-konstytucji.jpg,Warszawa Śródmieście,pl. Konstytucji,5 / winda,1950.0,blok,35 000,"2-pokojowe mieszkanie zlokalizowane na Śródmieściu przy Placu Konstytucji BUDYNEK/OSIEDLE Mieszkanie znajduje się na 5 piętrze w 5 piętrowym budynku. Rok budowy: budynek z lat 50-tych. NIERUCHOMOŚĆ Mieszkanie o powierzchni 27,4m2 składa się z: -salonu z aneksem kuchennym, -sypialni, -łazienki, -holu. Czynsz administracyjny wynosi 450zł. Mieszkanie własnościowe. Parking-do dyspozycji mieszkańców dostępny jest ogólnodostępny parking. Ekspozycja okien-widok od strony ulicy. Mieszkanie przeszło generalny remont zakończony w październiku 2025 r. i zostało wykończone w wysokim standardzie. Po remoncie nikt w nim nie mieszkał ani nie korzystał z przestrzeni, dzięki czemu jest w idealnym, świeżym stanie. OKOLICA Lokalizacja w centrum miasta, w otoczeniu pełnej infrastruktury ? sklepy, przystanki komunikacji miejskiej oraz liczne punkty usługowe zapewniają wygodę i komfort codziennego życia. Zapraszam na prezentację nieruchomości. W razie zainteresowania prosimy o kontakt: , Powyższa oferta ma charakter informacyjny i nie stanowi oferty handlowej w rozumieniu art. 66 §1 Kodeksu Cywilnego. Bezpłatnie pomagamy znaleźć najkorzystniejszą na rynku ofertę kredytową. Na życzenie w ramach prezentacji nieruchomości możliwość przeprowadzenia przez firmę budowlaną oceny stanu mieszkania i wycenę remontu.",,,,plastikowe,własność,,52.221615,21.015274
