locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url,city_district,full_address,floor,year_built,building_type,price_per_sqm_detailed,description_text,has_basement,has_parking,kitchen_type,window_type,ownership_type,equipment,latitude,longitude
Kraków Podgórze,ul. Obozowa,2,47,670000,14347,Bez pośredników,ponad tydzień temu,10,https://adresowo.pl/o/mieszkanie-krakow-podgorze-ul-obozowa-2-pokojowe-e5w7o2,https://s2.adresowa.pl/oi/32/12/3b135e_9585_cover-2-pokojowe-mieszkanie-krakow-podgorze-ul-obozowa.jpg,Kraków Podgórze,ul. Obozowa,1,2010,blok,14 347,"Do sprzedaży mieszkanie o pow. 46,70 m2, składające się z sypialni, pokoju dziennego połączonego z jadalnią i półotwartą kuchnią, łazienką z wanną oraz przedpokoju z przestronną szafą w zabudowie. Mieszkanie położone jest na pierwszym piętrze budynku 4 kondygnacyjnego z 2010 r. Mieszkanie odświeżone i wyremontowane - gotowe do zamieszkania. Kuchnia w pełni wyposażona (zmywarka, kuchenka gazowa, piekarnik elektryczny, kuchenka mikrofalowa w zabudowie, zmywarka oraz lodówka). W łazience znajduje się duża wanna, pralka oraz kocioł grzewczy gazowy. W mieszkaniu znajduje się również balkon z widokiem na tereny zielone. Opłaty administracyjne 390 zł. w tym wliczona jest częściowo woda zimna. Pozostałe media (prąd i gaz) opomiarowane indywidualnie i płatności obliczane są wg zużycia liczników. Do mieszkania przynależy miejsce postojowe w garażu podziemnym znajdującym się pod budynkiem z przejściem bezpośrednio z garażu na klatkę schodową. Okolica cicha i spokojna, w pobliżu znajdują się sklepy spożywcze, piekarnia, apteka, siłownia, osiedlowy plac zabaw itp. Dojazd do centrum możliwy komunikacją miejską (autobus) a przystanek znajduje się w odległości ok. 350 metrów od mieszkania. Cena 670 000 zł plus miejsce parkingowe w garażu podzielnym dodatkowo płatne 30 000 zł. OFERTA BEZPOŚREDNIA. MOŻLIWOŚĆ WSPÓŁPRACY Z BIURAMI POŚREDNICTWA POSIADAJĄCYMI KONKRETNYCH KLIENTÓW NA TĄ OFERTĘ.",,tak,aneks,plastikowe,własność,"Wyposażenie: kuchenka, lodówka, mikrofalówka, piekarnik, pralka, zmywarka",50.013547,19.907067
Kraków Mydlniki,ul. Wincentego Weryhy-Darowskiego,3,66,760000,11515,Bez pośredników,wczorajnowe,18,https://adresowo.pl/o/mieszkanie-krakow-mydlniki-ul-wincentego-weryhy-darowskiego-3-pokojowe-i2g9q6,https://s2.adresowa.pl/oi/7d/41/3b3112_3ad4_cover-3-pokojowe-mieszkanie-krakow-mydlniki-ul-wincentego-weryhy-darowskiego.jpg,Kraków Mydlniki,ul. Wincentego Weryhy-Darowskiego,3,2012,blok,11 515,"Ładne, słoneczne mieszkanie na 3 piętrze z ciekawym układem pokoi [osobna kuchnia, salon z balkonem, dwie sypialnie, łazienka i małe WC]. Na podłodze płytki Tubądzin Majolika i deska Berlinecka jesionowa. Po wymianie okien na 3-szybowe w 2021r. [ w ramach programu poprawy komfortu akustycznego Kraków Airport]. Po niedawnym odświeżeniu [malowaniu ścian]. Razem z mieszkaniem sprzedajemy miejsce parkingowe pod blokiem. Blok został zbudowany na granicy Krakowa z Rząską. Okolica jest ładna i zielona i takie są widoki z okien. Jest gdzie wybrać się na spacer. W okolicy znajdują się: szkoła, przedszkola, sklepy spożywcze, POZ, Jurajskie Centrum Medyczne, Kościół, apteka, przystanek MPK, stacja kolejowa PKP- Mydlniki Wapiennik [trasa Kraków-Katowice] oraz Zakliki trasa Wieliczka-Lotnisko], a także poczta. Stosunkowo bliski jest dojazd do A4 i lotniska w Balicach. Czynsz wynosi 595zł dla 3 osób [w cenie wywóz śmieci, woda i fundusz remontowy]. Ogrzewanie gazowe [piec dwufunkcyjny Ariston]. Zapraszam do kontaktu w weekendy, w poniedziałek i środę po godzinie 16, we wtorek i czwartek do 12 po nr telefonu [numer].",,,osobna,plastikowe,własność,"Wyposażenie: kuchenka, piekarnik",50.088052,19.847874
Kraków Grzegórzki,ul. ks. Franciszka Blachnickiego,3,65,1750000,26923,Bez pośredników,3 dni temu,10,https://adresowo.pl/o/mieszkanie-krakow-grzegorzki-ul-ks-franciszka-blachnickiego-3-pokojowe-h9i3i5,https://s2.adresowa.pl/oi/2b/2d/3b4708_5b11_cover-3-pokojowe-mieszkanie-krakow-grzegorzki-ul-ks-franciszka-blachnickiego.jpg,Kraków Grzegórzki,ul. ks. Franciszka Blachnickiego,3,1960,blok,26 923,"Na sprzedaż: przestronne, 3‑pokojowe mieszkanie w wyjątkowej lokalizacji - tuż przy Starym Mieście i Bulwarach Wiślanych. Oferujemy atrakcyjne i w pełni wykończone mieszkanie o powierzchni 65,00 m², położone w spokojnej, zielonej okolicy, jednocześnie w samym sercu miasta. Nieruchomość znajduje się na 3, ostatnim piętrze zadbanego bloku z lat 60., w klatce liczącej jedynie 8 mieszkań (po dwa na piętro), co zapewnia kameralną atmosferę i przyjazne relacje sąsiedzkie. Układ i standard mieszkania: - przestronny salon z balkonem typu loggia, z widokiem na urokliwy skwer porośnięty starodrzewiem, - jasna kuchnia otwarta na salon, - dwie niezależne sypialnie, - łazienka z prysznicem i WC, - przedpokój, - pralnia. Do mieszkania przynależy również piwnica (ok. 3 m²). Mieszkanie przeszło generalny remont w 2015 roku - zmieniono układ funkcjonalny, wymieniono wszystkie instalacje, wykonano nowe tynki i podłogi (bielony dąb naturalny), zamontowano piec z zamkniętą komorą spalania. Wysokie sufity (ok. 280 cm) potęgują wrażenie przestronności, a otoczenie zieleni i cisza gwarantują komfort życia. Lokalizacja: To jedna z najbardziej pożądanych części miasta - idealna dla osób ceniących bliskość centrum oraz spokój i zieleń. - 2 minuty do Galerii Kazimierz, - 5 minut spacerem na Bulwary Wiślane i Halę Targową, - 8 minut pieszo na Kazimierz, - 15 minut spacerem na Rynek Główny. W sąsiedztwie znajdują się sklepy, kawiarnie, restauracje, szkoła podstawowa, dwa przedszkola oraz uczelnie wyższe. Doskonała komunikacja - liczne linie tramwajowe, autobusowe oraz kolejka miejska - gwarantuje szybki dojazd w każdy rejon miasta. To miejsce łączy w sobie zaletę życia w centrum z ciszą i urokliwym klimatem zielonej dzielnicy. Takie oferty pojawiają się niezwykle rzadko!",tak,,,,własność,,50.05555,19.952373
,,,,,,Pośrednik,,,https://adresowo.pl/mieszkania/krakow/krowodrza-4/,,,,5,1939,kamienica,,,,,,,,,,
Kraków,ul. Kobierzyńska,2,45,754947,16695,Bez pośredników,,2,https://adresowo.pl/o/mieszkanie-krakow-ul-kobierzynska-2-pokojowe-a1r5e5,https://s2.adresowa.pl/development/670664/nowe-mieszkania-apartamenty-casa-sole-4bda_cover.jpg,Kraków,ul. Kobierzyńska,1,,,16 695,"Nowe mieszkanie 2-pokojowe o powierzchni 45,22 m² w inwestycji Apartamenty CASA SOLE dewelopera Smart Apartments Sp.z o.o., na 1 piętrze w budynku 193E pod adresem ul. Kobierzyńska 193E, Kraków. Planowany termin oddania to III kwartał 2025 roku. O inwestycji Casa Sole to nowoczesna, przyjazna architektura, przyjazna architektura zaprojektowana dla rodzin. Inwestycja obejmuje budowę czterokondygnacyjnego budynku mieszkalnego, wielorodzinnego, wykończonego trwałymi i eleganckimi materiałami z dbałością o wszelkie detale architektoniczne. Klienci mają do wyboru 11 mieszkań o zróżnicowanym układzie i powierzchni. W ofercie znajdują się mieszkania z miejscami postojowymi w garażu podziemnym oraz komórkami lokatorskimi. Na parterz... więcej > O inwestycji Casa Sole to nowoczesna, przyjazna architektura, przyjazna architektura zaprojektowana dla rodzin. Inwestycja obejmuje budowę czterokondygnacyjnego budynku mieszkalnego, wielorodzinnego, wykończonego trwałymi i eleganckimi materiałami z dbałością o wszelkie detale architektoniczne. Klienci mają do wyboru 11 mieszkań o zróżnicowanym układzie i powierzchni. W ofercie znajdują się mieszkania z miejscami postojowymi w garażu podziemnym oraz komórkami lokatorskimi. Na parterze dostępne są 3 lokale usługowe. Budynek wyposażony jest w dwubiegową klatkę schodową i windę obsługującą wszystkie kondygnacje. Nieruchomość jest również przystosowana do potrzeb osób niepełnosprawnych. Lokalizacja Casa Sole to doskonałe miejsce dla osób poszukujących mieszkania w dobrze skomunikowanej lokalizacji, a jednocześnie na terenie, z niską, kameralną zabudową. Nie bez znaczenia pozostaje bliskość Kampusu Uniwersytetu Jagiellońskiego, Krakowskiego Parku Technologicznego oraz licznych biur międzynarodowych korporacji. Dzięki dobrej komunikacji autobusowej można bez problemu dotrzeć do centrum miasta. Pokonując krótki odcinek pieszo można dojść do szkół, przedszkoli, aptek, przychodni oraz do sklepów. Tereny rekreacyjne , takie jak Krakowski Klub Jazdy Konnej , Skałki Twardowskiego, Las Żywiecki , Las Borkowski , centra sportu i rekreacji czy też ścieżki rowerowe sprzyjają aktywnemu wypoczynkowi. W bliskim sąsiedztwie realizowane są inwestycje miejskie; Trasa Łagiewnicka, Dom kultury na Ruczaju.",,,,,,,50.01300048828125,19.89900016784668
Kraków Nowa Huta,os. Słoneczne,3,37,499000,13656,Oferta biura nieruchomości,2 dni temu,13,https://adresowo.pl/o/mieszkanie-krakow-nowa-huta-os-sloneczne-3-pokojowe-q1y2k2,https://s2.adresowa.pl/oi/78/6d/3b4a2e_6a89_cover-3-pokojowe-mieszkanie-krakow-nowa-huta-os-sloneczne.jpg,Kraków Nowa Huta,os. Słoneczne,3,1950,blok,13 656,"OFERTA NA WYŁĄCZNOŚĆ! Na sprzedaż klimatyczne mieszkanie o powierzchni 36.54 m², zlokalizowane na Osiedlu Słonecznym w Nowej Hucie. NAJWAŻNIEJSZE INFORMACJE: powierzchnia użytkowa: 36.54 m² piwnica: 2,28 m² piętro: 3 z 3 budynek: blok z cegły ekspozycja: zachodnia balkon ogrzewanie: MPEC ciepła woda: piecyk gazowy stan: do remontu UKŁAD: Mieszkanie składa się z: dwóch sypialni, pokoju dziennego, oddzielnej kuchni, przedpokoju, łazienki z WC. Do lokalu przynależy piwnica. LOKALIZACJA: Osiedle Słoneczne to zielona i spokojna część Nowej Huty, z dużą ilością terenów rekreacyjnych i parków. W najbliższej okolicy dostępna jest pełna infrastruktura miejska. KOMUNIKACJA: przystanek autobusowy „Żeromskiego” - 140 m, przystanek tramwajowy „Struga” - 500 m. MIESZKANIE: Lokal jasny, z dużymi oknami, balkonem oraz widokiem na zielony park. Na podłogach parkiety. Mieszkanie w stanie do remontu, co daje szerokie możliwości aranżacyjne i dopasowania przestrzeni do własnych potrzeb. STAN PRAWNY: Pełna własność z księgą wieczystą, bez obciążeń — szybka i bezpieczna transakcja. DLA KOGO: Idealna propozycja dla pary, singla, rodziny z dzieckiem lub inwestora poszukującego mieszkania z potencjałem w zielonej i dobrze skomunikowanej części Krakowa. Zapraszam do kontaktu i na prezentację.",,,,,własność,,50.077868,20.041179
Kraków Podgórze,ul. Myśliwska,2,33,650000,19697,Oferta biura nieruchomości,3 dni temu,30,https://adresowo.pl/o/mieszkanie-krakow-podgorze-ul-mysliwska-2-pokojowe-l8l0l5,https://s2.adresowa.pl/oi/60/44/3b4964_b6c5_cover-2-pokojowe-mieszkanie-krakow-podgorze-ul-mysliwska.jpg,Kraków Podgórze,ul. Myśliwska,2 / winda,2012,blok,19 697,"| Nowoczesne 2-pokojowe mieszkanie z balkonem | ul. Myśliwska - Płaszów Na sprzedaż komfortowe, funkcjonalne i zadbane mieszkanie o powierzchni 33,74 m² , położone na 2. piętrze nowoczesnego, 5-piętrowego budynku z 2012 roku , w jednej z najbardziej cenionych lokalizacji Krakowa - Płaszów, ul. Myśliwska . To idealna propozycja dla singla, pary lub inwestora poszukującego mieszkania gotowego do zamieszkania lub natychmiastowego wynajmu . Przemyślany układ pomieszczeń: jasny, przestronny salon z aneksem kuchennym oddzielna, ustawna sypialnia funkcjonalna łazienka przedpokój z miejscem do przechowywania balkon o powierzchni 3,3 m² - idealne miejsce na poranną kawę lub chwilę relaksu Mieszkanie jest w bardzo dobrym stanie technicznym , zadbane i nie wymaga żadnych dodatkowych nakładów finansowych . Nowoczesny budynek i bezpieczne osiedle: blok z 2012 roku ogrodzony i monitorowany teren szlaban wjazdowy tylko dla mieszkańców dostęp do wózkowni i rowerownia estetyczne, zadbane części wspólne Media i koszty utrzymania: ogrzewanie miejskie ciepła woda miejska brak gazu w mieszkaniu czynsz administracyjny ok. 500 zł dodatkowo płatny wyłącznie prąd Stan prawny: odrębna własność lokalu księga wieczysta - możliwość zakupu na kredyt Lokalizacja - zielona, wygodna i doskonale skomunikowana: szybki i wygodny dojazd do centrum miasta blisko przystanki komunikacji miejskiej w pobliżu sklepy, punkty usługowe i infrastruktura miejska liczne tereny zielone, ścieżki spacerowe i rowerowe , idealne do aktywnego wypoczynku i relaksu Zielona i spokojna okolica. Lokalizacja przy ul. Myśliwskiej to doskonałe połączenie miejskiej wygody z bliskością natury. W najbliższym otoczeniu znajdują się liczne tereny zielone, parki oraz trasy spacerowe i rowerowe , idealne do aktywnego wypoczynku i relaksu po pracy. W niedalekiej odległości rozciąga się Zalew Bagry, które zachęcają do spacerów, joggingu czy przejażdżek rowerowych. Okolica jest cicha, zadbana i przyjazna do życia , a jednocześnie bardzo dobrze skomunikowana z centrum miasta. To mieszkanie łączy nowoczesność, komfort i świetną lokalizację , oferując jednocześnie niskie koszty utrzymania . Doskonały wybór zarówno do zamieszkania, jak i jako pewna inwestycja na przyszłość . Cena: 650 000 zł - do negocjacji. Zapraszam do kontaktu oraz na prezentację - to oferta, którą warto zobaczyć na żywo! POLECAM I ZAPRASZAM DO OGLĄDANIA. Bracia Sadurscy Izabela Bułat Kom.: [numer] Email: [email] Zachęcamy do zapoznania się z naszą pełną ofertą na stronie: [www] Skontaktuj się z nami, a nasi agenci znajdą mieszkanie, które spełni wszystkie Twoje wymagania! ::DODATKOWE INFORMACJE | Rodzaj budynku: blok | Dozór budynku: monitoring | Głośność: umiarkowanie ciche | Widok: na inne budynki | Gaz: brak | Woda: ciepła - miejska | Dojazd: asfalt | Otoczenie: osiedle | Ogrzewanie: miejskie | Internet: TAK | Telewizja kablowa: TAK | Komunikacja publ.: autobus | Odl. do sklepu [m]: 50 | Odl. do szkoły [m]: 150 | Winda: TAK | Liczba wind: 1 | Rozkład: jednostronne rozkładowe | Usytuowanie: jednostronne | Drzwi antywłamaniowe: TAK | Opłaty w czynszu: wywóz śmieci, Winda, sprzątanie, ogrzewanie, monitoring, fundusz remontowy, Części wspólne, CO, administracja | Opłaty wg liczników: prąd | Rodzaj mieszkania: jednopoziomowe | Garaż: brak | Stan lokalu: bardzo dobry | Okna: PCV | Instalacje: dobre | Balkon: jest | Liczba balkonów: 1 | Powierzchnia balkonów/tarasów [m2]: 3,3000 | Powierzchnia użytkowa [m2]: 33,7400 | Rok budowy: 2012 | Liczba pokoi: 2 | Liczba sypialni: 1 | Podłogi pokoi: panele podłogowe | Ściany pokoi: malowane | Wyposażenie pokoi: meble - nowego typu | Typ kuchni: aneks kuchenny - połączony z jadalnią | Rodzaj kuchni: aneks kuchenny połączony z jadalnią i salonem | Podłoga kuchni: płytki, panele | Wyposażenie kuchni: meble kuchenne na wymiar, sprzęt AGD | Typ łazienki: razem z wc | Liczba łazienek: 1 | Glazura łazienki: nowego typu | Podłoga łazienki: płytki | Wyposażenie łazienki: WC, wanna, umywalka, pralka, lustro | Ściany łazienki: malowane | Liczba przedpokoi: 1 | Podłoga przedpokoi: płytki | Ściany przedpokoi: malowane | Wyposażenie przedpokoi: szafa zabudowana, domofon | ::LINK DO STRONY | [www]/offer/BS3-MS-313275 Zobacz Wirtualny Spacer: [www]/show/?m=vCzaCqtZPso ::KONTAKT DO AGENTA | Izabela Bułat | [numer] | [email] ::DANE BIURA | Oddział BS3, Przewóz | Przewóz 47/1 piętro | 31-509 Kraków | [numer] -------------------------- ::GRATIS | Nasza prowizja zawiera: koszt przedwstępnej notarialnej umowy sprzedaży nieruchomości z rynku wtórnego. ::GWARANCJA | Gwarancja zwrotu zadatku. Więcej informacji na [www]/zwrot-zadatku/ |",,,aneks,plastikowe,własność,"Wyposażenie: internet, pralka",50.042809,19.999301
Kraków Prądnik Biały,al. 29 Listopada,3,50,825000,16500,Bez pośredników,3 dni temu,16,https://adresowo.pl/o/mieszkanie-krakow-pradnik-bialy-al-29-listopada-3-pokojowe-p6k8k3,https://s2.adresowa.pl/oi/4e/3e/3b466e_b31f_cover-3-pokojowe-mieszkanie-krakow-pradnik-bialy-al-29-listopada.jpg,Kraków Prądnik Biały,al. 29 Listopada,6 / winda,,blok,16 500,"3-POKOJOWE MIESZKANIE Z BALKONEM, MIEJSCEM POSTOJOWYM I POM. UŻYTKOWYM, BEZPOŚREDNIO OD WŁAŚCICIELA. MIESZKANIE Bardzo ładne, w pełni wykończone mieszkanie o powierzchni 50 m2, położone na 6-piętrze budynku przy Alei 29 Listopada na Prądniku Białym. Mieszkanie ma narożny, funkcjonalny układ pomieszczeń, składa się z: - salonu z aneksem kuchennym, - dwóch pokoi, - łazienki z wc, - przedpokoju. Z salonu wyjście na duży, zadaszony balkon z miejscem na meble i rośliny. Do mieszkania przynależy funkcjonalna komórka lokatorska znajdująca się na tym samym piętrze co mieszkanie. Miejsce postojowe w garażu podziemnym (dojazd windą). Mieszkanie zostało wykończone i wyposażone w wysokim standardzie. Każde pomieszczenie wyposażone we wszystkie niezbędne meble i sprzęty. W kuchni zabudowa wraz z nowoczesnym sprzętem AGD (lodówka z zamrażarką, piekarnik, mikrofalówka, płyta indukcyjna, okap, zmywarka). Łazienka z dużą wanną i pralką. W salonie zabudowa pod sprzęt RTV, stół, krzesła oraz stolik kawowy. Przedpokój z dużą szafą wykonaną na wymiar. W sypialni szafa w zabudowie oraz łóżko. W pokoju do pracy (czy tez drugiej sypialni) szafa w zabudowie, łóżko i biurko. Pokoje słoneczne, okna PCV, 3-szybowe z ekspozycją na południe i wschód. Ogrzewanie i ciepła woda z miejskiej sieci MPEC. — LOKALIZACJA, BUDYNEK Budynek położony w spokojnej okolicy oddalonej od głównej ulicy, z bardzo dobrym dojazdem komunikacją miejską. Do przystanku autobusowego 1 minuta pieszo, ok. 9 minut pieszo do przystanku tramwajowego. Doskonały dojazd do centrum miasta oraz do obwodnicy Krakowa. W pobliżu dobra infrastruktura handlowo-usługowa; liczne sklepy (m.in. Biedronka, Lewiatan, Żabki, piekarnie, punkty usługowe, przychodnie, apteki, szkoła, przedszkola i żłobki). W okolicy liczne treny rekreacyjne i zielone. — CENA za całość: mieszkanie 825 000 zł + 50 000 zł (miejsce postojowe) wynosi 875 000 zł. Nieruchomość posiada księgę wieczystą bez obciążeń. Zapraszamy na prezentację w dogodnym terminie. — Przedstawiona oferta cenowa ma charakter informacyjny, nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.",tak,tak,aneks,plastikowe,własność,"Wyposażenie: pralka, lodówka, piekarnik, zmywarka, mikrofalówka",50.089177,19.957868
Kraków Łagiewniki,ul. Huculska,3,58,790764,13700,Bez pośredników,3 dni temu,20,https://adresowo.pl/o/mieszkanie-krakow-lagiewniki-ul-huculska-3-pokojowe-f2f0i6,https://s2.adresowa.pl/oi/67/29/3b45d0_d22b_cover-3-pokojowe-mieszkanie-krakow-lagiewniki-ul-huculska.jpg,Kraków Łagiewniki,ul. Huculska,2,1968,blok,13 700,"Na sprzedaż 3 - pokojowe mieszkanie z balkonem w stanie deweloperskim, bezpośrednio od właściciela. Najważniejsze atuty: - Kameralne sąsiedztwo – tylko 4 mieszkania w budynku, zapewniające prywatność i spokój - Doskonała komunikacja – blisko tramwajów, autobusów, SKA, szybki wyjazd Trasą Łagiewnicką i obwodnicą - Blisko terenów zielonych – Las Borkowski, Park Solvay idealne na spacery i rekreację Mieszkanie składa się z: -Korytarza (5,11 m2) -Kuchnia (7,85 m2) - Pokój dzienny (13,90 m2) - Sypialnia 1 (13,90 m²) - Sypialnia 2 (11,07 m²) - Łazienka (4,12 m²) - WC (1,26 m²) Standard wykończenia: instalacja elektryczna, wod.-kan., CO, wylewki, na ścianach gładzie, biały montaż elektryczny, stelaże pod WC. Budynek: Budynek został kompleksowo odnowiony w 2025. Nowoczesna architektura i wysoki standard wykończenia, trwałe materiały. Trwają ostatnie prace wykończeniowe zagospodarowania terenu. Możliwość zakupu miejsca postojowego oraz ogródka. Lokalizacja: Mieszkanie znajduje się w 4‑mieszkaniowym budynku przy ul. Huculskiej 15 (Łagiewniki, Kraków). To idealne miejsce dla tych, którzy szukają spokoju i świetnej komunikacji – bliskość tramwajów, autobusów, SKA, Trasy Łagiewnickiej i obwodnicy Krakowa zapewnia szybki dojazd do centrum i pozostałych części miasta. W otoczeniu liczne tereny zielone – Las Borkowski, Park Solvay. W zasięgu spaceru żłobki, przedszkola, szkoły, place zabaw, sklepy i restauracje – pełna infrastruktura miejskiej dzielnicy.",,tak,,,własność,,50.022037,19.924073
Kraków,ul. Kobierzyńska,3,59,868623,14700,Bez pośredników,,2,https://adresowo.pl/o/mieszkanie-krakow-ul-kobierzynska-3-pokojowe-w4e3o4,https://s2.adresowa.pl/development/670664/nowe-mieszkania-apartamenty-casa-sole-4bda_cover.jpg,Kraków,ul. Kobierzyńska,1,,,14 700,"Nowe mieszkanie 3-pokojowe o powierzchni 59,09 m² w inwestycji Apartamenty CASA SOLE dewelopera Smart Apartments Sp.z o.o., na 1 piętrze w budynku 193E pod adresem ul. Kobierzyńska 193E, Kraków. Planowany termin oddania to III kwartał 2025 roku. O inwestycji Casa Sole to nowoczesna, przyjazna architektura, przyjazna architektura zaprojektowana dla rodzin. Inwestycja obejmuje budowę czterokondygnacyjnego budynku mieszkalnego, wielorodzinnego, wykończonego trwałymi i eleganckimi materiałami z dbałością o wszelkie detale architektoniczne. Klienci mają do wyboru 11 mieszkań o zróżnicowanym układzie i powierzchni. W ofercie znajdują się mieszkania z miejscami postojowymi w garażu podziemnym oraz komórkami lokatorskimi. Na parterz... więcej > O inwestycji Casa Sole to nowoczesna, przyjazna architektura, przyjazna architektura zaprojektowana dla rodzin. Inwestycja obejmuje budowę czterokondygnacyjnego budynku mieszkalnego, wielorodzinnego, wykończonego trwałymi i eleganckimi materiałami z dbałością o wszelkie detale architektoniczne. Klienci mają do wyboru 11 mieszkań o zróżnicowanym układzie i powierzchni. W ofercie znajdują się mieszkania z miejscami postojowymi w garażu podziemnym oraz komórkami lokatorskimi. Na parterze dostępne są 3 lokale usługowe. Budynek wyposażony jest w dwubiegową klatkę schodową i windę obsługującą wszystkie kondygnacje. Nieruchomość jest również przystosowana do potrzeb osób niepełnosprawnych. Lokalizacja Casa Sole to doskonałe miejsce dla osób poszukujących mieszkania w dobrze skomunikowanej lokalizacji, a jednocześnie na terenie, z niską, kameralną zabudową. Nie bez znaczenia pozostaje bliskość Kampusu Uniwersytetu Jagiellońskiego, Krakowskiego Parku Technologicznego oraz licznych biur międzynarodowych korporacji. Dzięki dobrej komunikacji autobusowej można bez problemu dotrzeć do centrum miasta. Pokonując krótki odcinek pieszo można dojść do szkół, przedszkoli, aptek, przychodni oraz do sklepów. Tereny rekreacyjne , takie jak Krakowski Klub Jazdy Konnej , Skałki Twardowskiego, Las Żywiecki , Las Borkowski , centra sportu i rekreacji czy też ścieżki rowerowe sprzyjają aktywnemu wypoczynkowi. W bliskim sąsiedztwie realizowane są inwestycje miejskie; Trasa Łagiewnicka, Dom kultury na Ruczaju.",,,,,,,50.02299880981445,19.90999984741211
